shopee_prices.json 商品清單（共 179 項）
19:22 ⚡麥可（台灣智能） 這是你用爬蟲抓的嗎
19:23 費行雨 這個是你抓的
19:23 費行雨 這個你可以把他加到你那個什麼硬體偵測那一個網頁裡面
19:23 費行雨 讓他去比對關鍵字
========================================

  1. Wan2.2-SVI2-Pro-remix｜2026最強NSFW圖生影片神器                                   NT$ 999  ✅NSFW
  2. 🔥安卓手機 AI 換臉神器來襲！NSFW 一鍵變身，照片+影片隨心換！🎥APP工具✨           NT$ 999  ✅NSFW
  3. AI 自動產生短劇解說影片 輸入一段話就能產生短劇解說影片                             NT$ 980
 41. DeepSeek 本地部署一鍵運行DeepSeek，解壓縮即可使用                                  NT$ 499
 42. 本地AI繪圖神器來襲！Stable Diffusion 中文版，一鍵釋放你的創意！                    NT$ 648
 43. Omni Voice 支援600+語言的語音複製和支援字幕生成語音,超快自然配音神器               NT$ 750
 44. Stable Video Infinity(SVI) 2.0Pro - 無限穩定成生長影片 ComfyUI工作流                NT$ 999
 45. RVC 一款高品質語音複製及AI變聲器，支援聲音克隆、直播變聲、AI唱歌等                NT$ 650
 46. 把手機當作電腦的視訊Webcam鏡頭                                                     NT$  99
 47. CLIP Interrogator 用AI 分析圖片輕鬆產出完美圖片提示詞+語音(歌詞)翻譯               NT$ 499
 48. 1800個AI繪畫提示詞庫提示詞咒語                                                     NT$  88
 49. Solong影片格式轉换器                                                               NT$ 350
 50. DramaBox本地端AI配音工作室                                                          NT$ 866
 51. SoulX-Singer - AI唱歌神器，任何聲音翻唱任何歌曲 支援50系列顯示卡 一鍵整合包       NT$ 899
 52. AI短影片批次合成工具                                                                NT$ 308
 53. Flux.2 klein 更優秀的換臉方案，更好的擴圖選擇！                                    NT$ 750
 54. AI 配音克隆聲音 indexTTS V2整合包 超強情感表達                                     NT$ 648
 55. StableDiffusion 提示詞+案例+結構模型 骨圖等                                        NT$ 350
 56. 區域網路檔案共享工具                                                                NT$ 200
 57. DreamID-V影像與影片之間的高保真 換臉 整合包                                        NT$ 860
 58. AI 繪圖設計工具 文生圖+圖生圖+指令修圖+改背景換衣服                                NT$ 539
 59. PhotoMaker 一張圖產生全套 AI 寫真 本地一鍵整合包                                   NT$ 499
 60. AI一鍵歌曲創作- 從從容容 游刃有餘                                                  NT$ 728
 61. 一款強大且靈活的本地綜合 多模型部署工具                                            NT$ 499
 62. AI 一鍵影片後製神器，翻譯 + 配音 + 字幕，輕鬆打造全球級內容！                      NT$ 630
 63. Roop CPU版 小巧簡易的照片AI換臉軟體                                                NT$ 560
 64. AI 音樂生成工具 Diff Rhythm v2                                                     NT$ 698
 65. JoyAI-Image-Edit 萬用圖片編輯模型 支援NSFW                                         NT$ 745  ✅NSFW
 66. 鮮藝AI 摳圖 離線的毫秒摳圖神器                                                     NT$ 199
 67. STranslate - 一款即用即走的翻译、OCR工具                                           NT$ 169
 68. HeartMuLa 輸入歌詞，AI自動作曲：你的音樂創作助手中文版                             NT$ 999
 69. DarkBeast-FaceSwap 無縫、逼真一鍵換頭(臉)                                          NT$ 780
 70. 全新數字人 AI模型Infinite Talk 實現無限時長視訊說話唱歌                            NT$ 820
 71. LibreTranslate - 本地翻譯神器，支援49國語言無需網路 高隱私一鍵整合包               NT$ 318
 72. 實用 AI圖片清晰放大工具                                                            NT$ 199
 73. Framepack AI圖片生成視頻 支援首尾幀過渡 可生成120秒視頻                            NT$ 730
 74. PC版鋼琴簡譜學習工具v1.2                                                           NT$ 199
 75. 最新AI數位人Hallo V2可產生4K超高清+1小時超長影片                                   NT$ 640
 76. 圖片加浮水印自訂工具                                                               NT$ 128
 77. 私密圖片儲存加密工具                                                               NT$ 198
 78. FlashVSR_Ultra_Fast-圖片影片高清晰放大-8G顯存可用 支援批次任務                     NT$ 538
 79. AI影片換臉/AI圖片換臉 代工製作(詢問訂價)                                           NT$   8
 80. AI一鍵摳圖更換背景軟體                                                             NT$ 380
 81. AI 截圖分析工具，主打「截一下，秒懂一切」                                          NT$ 199
 82. MMAudio (NSFW版) 無聲視頻一鍵 AI同步配音超自然                                     NT$ 680  ✅NSFW
 83. PixWit 一把搞定截圖、錄影、剪輯、AI 翻譯                                           NT$ 390
 84. AI 多媒體工具箱 MTools                                                             NT$ 399
 85. Lens-Turbo: 輕量創意文生圖 快速創作創意圖像一鍵整合包                              NT$ 698
 86. Think Video 影片反推提示詞產生器 一鍵逆推！                                        NT$ 480
 87. Anime 4K AI影片高畫質修復工具                                                      NT$ 430
 88. ACE-Step「 AI音樂生成器 」支援中文                                                  NT$ 750
 89. GLM-Image最强中文海报 + PPT + 科普圖生成神器！                                     NT$ 599
 90. 節點式 AI 繪畫ComfyUI整合包                                                        NT$ 498
 91. 【梅花易數六爻全功能版 · 心動即占】                                                NT$ 418
 92. 將任意網站轉換成桌面應用程式                                                        NT$   1
 93. 中醫養生時鐘桌面小工具軟體                                                          NT$ 198
 94. AI照片編輯器(安卓版)                                                               NT$ 430
 95. Heygem V4版 零成本本地AI數位人製作軟體 數位人口播影片製作                          NT$ 845
 96. AI 一鍵換裝 + 換姿勢：你的虛擬造型師來了！                                         NT$ 580
 97. AI驅動畫面穩定與修復抖動影片的防抖軟體                                             NT$ 460
 98. Nvidia-vfx 輕鬆把模糊、低清、壓縮嚴重的老視頻瞬間變成高清大片                      NT$ 499
 99. 讓照片說話唱歌+影片配音對口數字人 APP安卓版                                        NT$ 500
100. AI聲音克隆軟件F5-TTS制作人聲模仿訓練合成                                           NT$ 690
101. AI換衣 IDM-VTON工具V1.2整合包                                                     NT$ 650
102. Fun_ASR 視訊和即時麥克風語音轉文字, 音訊+視訊支援批次轉錄器                       NT$ 428
103. AI 影片字幕助手 VideoCaptioner：智能字幕革命一鍵聽音生成字幕                       NT$ 648
104. 最佳手機AI視頻舞蹈生成器 安卓專用                                                  NT$ 518
105. LLM-TTS AI 3秒極速語音克隆工具                                                     NT$ 699
106. Audiocraft - 文字轉音樂、AI音樂生成、AI音樂創作工具                                NT$ 780
107. ✨本地端 Editmgt 文字指揮Ai修圖神器                                                NT$ 548
108. 「綜合排盤」整合多種中國傳統命理工具(安卓版)                                       NT$ 389
109. 【影片去浮水印】Sora2 影片去浮水印整合包                                           NT$ 399
110. Face Aging AI人臉智慧年齡調整工具,支援照片影片生成                                 NT$ 540
111. FireRed-OCR - 論文/發票/公式/手寫筆記一鍵識別轉換                                  NT$ 328
112. SenseNova - 最佳 圖文/資訊圖表產生 文生圖/影像編輯 模型一鍵整合包                  NT$ 750
113. AI精品3D漫劇全流程教學，零基礎輕鬆打造爆款動畫短劇                                 NT$ 590
114. AI人聲分離軟體可分離歌曲伴奏和人聲ClearerVoice                                     NT$ 360
115. HunyuanVideo-1.5 -圖生影片 輕量級但功能強大的影片產生模型 ComfyUI工作流            NT$ 830
116. 一款自動將影片轉為圖文下載的 AI 工具                                               NT$ 390
117. AI歌曲創作（DiffRhythm）工具V2.0                                                   NT$ 750
118. PI幣 手機挖礦+ 電腦節點挖礦賺錢 教學                                               NT$   1
119. AI臉部自動追蹤並即時打碼影片編輯器                                                 NT$ 550
120. 戶外水龍頭 4分水龍頭                                                               NT$ 128
121. 「Ideogram 4」次世代 AI 圖像生成開源模型                                           NT$ 790
122. 一個無需顯示卡就可運行的 AI生圖工具                                                NT$ 488
123. 🚀 解鎖AI創意寶庫：RunningHub – 你的影像影片生成神器！🌟                           NT$   8
124. [美工軟件] [Windows] 螢幕錄製工具ScreenToGif                                        NT$ 230
125. SoulX-FlashHead V2版- 最快即時數位人，給它一段聲音秒出流暢會說話的數位人臉         NT$ 799
126. Qwen-Image-Edit-AIO V8版- AI版PS，小白一鍵修圖神器，基於GGUF模型支援NSFW           NT$ 890  ✅NSFW
127. 影片分割大師 無損分割，一鍵搞定，視訊處理新神器！                                  NT$ 390
128. AI 重繪改圖支援批量圖生圖 Z-image-Turbo-xitu                                        NT$ 776
129. DreamO 可以編輯圖片，然後圖片轉視頻                                                NT$ 750
130. 最佳Ai影片去浮水印無損解析度                                                       NT$ 349
131. 「Anydoor」任意門，可實現隔空換物，一鍵換衣等功能                                  NT$ 588
132. Woosh - 文字+影片一鍵產生逼真音效AI音效產生/影片配音一鍵整合包                     NT$ 808
133. 【AI字幕助手】LLM 智慧視訊字幕助手，支援生成、斷句、優化、翻譯                     NT$ 598
134. 比FLUX快100倍！英偉達聯手MIT超快影像產生器 AI文生圖模型                            NT$ 550
135. Ultra-SD-v2.2 ComfyUI繪画 適用於 Intel Core Ultra 系列核顯                          NT$ 499
136. Vid To Text -最佳語音與影片轉文字系統                                               NT$ 449
137. ERNIE-Image-Turbo - 文生圖神器，海報、漫畫、PPT圖輕鬆產生                          NT$ 921
138. 突破零樣本TTS音色克隆上限：LongCat-AudioDiT 的聲音克隆藝術                         NT$ 680
139. AI變聲器，支援即時聲音轉換、AI唱歌、AI歌曲翻唱支援50系列顯示卡                    NT$ 490
140. MatAnyone2 - 影片/影像超精細一鍵摳圖神器影片摳圖換背景                             NT$ 988
141. 語音辨識+ 聲音克隆+ 模型訓練，一個工俱全搞定！ Easy-Voice-Toolkit                  NT$ 520
142. FASHN VTON - AI虛擬試穿+換裝，逼真試穿，電商與時尚利器                             NT$ 628
143. 【VibeVoice 2026 最強中文 AI 配音員來了！】                                        NT$ 740
144. 電商AI換衣王者，實現萬物換萬物，還原度極高！                                       NT$ 650
145. Faster Qwen3-TTS - 即時語音合成加速引擎，即時串流式，支援多國語言 語音克隆        NT$ 750
146. 一張 圖片生成跳舞影片AI MimicMotion 工具V1.0                                       NT$ 669
147. Qwen-Image-Layered-像剝洋蔥一樣分離圖層，影像一鍵分層+自由編輯圖層並合成           NT$ 690
148. Kandinsky 5 - 輕量級圖文生影片 低配設備福音 8G顯示可用                              NT$ 800
149. 文字轉語音軟體VPot(免費下載)                                                        NT$   1
150. MOSS-TTS,介面API,語音合成,8G顯存可用,聲音複製,TTS,支援超長文字                     NT$ 678
151. MiniMax-Remover AI幫你移除影片裡的路人、水印、亂入物瞬間消失                       NT$ 688
152. AI 人像表情調整工具 FacePoke 一鍵部署整合包                                        NT$ 560
153. (代工)圖片清晰度提升 照片模糊清晰處理 無損放大高清 老照片修復翻(代工)             NT$  58
154. 一句話改圖，兩張圖參考 DreamOmni2 讓AI 理解你的編輯意圖一鍵整合包                  NT$ 580
155. 圖片轉視頻工具合併背景配音樂輸出客製對話影片                                       NT$ 299
156. HunyuanVideo-Foley- AI視訊配音自動辨識影片內容生成配音                              NT$ 680
157. AI魔法橡皮擦 安卓版                                                                NT$ 330
158. Ai迷因梗圖 表情包生成器HelloMeme                                                    NT$ 300
159. NovaSR 一鍵提升音質超輕量級即時音訊增強模型一鍵整合包                              NT$ 299
160. HivisionIDPhoto - AI一鍵智慧製作生成證件照                                          NT$ 302
161. 一張照片+ 一段音訊= 你的AI數字人：StableAvatar真人說話影片生成器                   NT$ 750
162. VoXCPM2語音合成,TTS,6G顯存可用,多音字控制,語速調節,支援老顯卡,音色保存            NT$ 680
163. VideoLingo3.0+Index-TTS2.0 全自動影片翻譯分角色配音加字幕軟體                      NT$ 620
164. Stable Audio 3 - 文字變音樂從音效到完整歌曲一鍵產生高品質長音訊一鍵整合包          NT$ 790
165. 【超簡單音樂合併神器 – 讓你的歌單一鍵連成一首】                                     NT$ 399
166. 輕鬆搞定文案提取！影音文案擷取助手,一鍵擷取影片字幕，無次數限制                    NT$ 399
167. AI製作代工 讓你的照片動起來！輕鬆打造吸睛的動畫 下單前先聊聊                       NT$   8
168. AI 影片智能 去除水印神器                                                            NT$ 470
169. RMBG AI圖像背景去除 一鍵啟動整合包                                                 NT$ 450
170. LivePortrait V3 精确的肖像编辑，精准操控五官眉毛鼻子摇头眨眼撇嘴                   NT$ 560
171. TTS新王炸！ Ming-omni-tts：一個模型搞定語音/音樂/音效，還能聽懂你的情緒指令        NT$ 700
172. MiniMax-Remover 高效影片中物件移除工具                                             NT$ 570
173. 八字玄機寶V1.0八字玄機寶 V1.0 解鎖命運密碼，掌握人生玄機！                         NT$ 328
174. ProPainter：AI 幫你隨手把影片裡的路人、水印、誤入鏡頭全部消失！                    NT$ 840
175. 音視頻驅動圖片說話唱歌小工具- AniPortrait                                           NT$ 580
176. FoleyCrafter：自動幫影片配音的 AI 工具，讓你輕鬆創作專業級影片                     NT$ 648
177. Meta SAM 3 讓AI 不只「看懂」世界，更能一鍵「重建+更換」 影片中場景                 NT$ 699
178. 語音合成工具，使用 Electron + Vue + ElementPlus + Vite 建置                         NT$ 518
179. HRMS人力資源管理系統                                                                NT$ 788

================================================================
統計：
  總商品數： 179
  NSFW商品： 12
  最低價格： NT$ 1（補價差/代工/免費軟體）
  最高價格： NT$ 999
